"","Date","LocalName","Name","CountryCode","Fixed","Global","LaunchYear","Type","Counties"
"107",2018-04-23,"San Jorge (Día de Aragón)","Day of Aragón","ES",TRUE,FALSE,NA,"Public","ES-AR"
"108",2018-05-01,"Fiesta del trabajo","Labour Day","ES",TRUE,TRUE,NA,"Public","All"
"109",2018-05-02,"Fiesta de la Comunidad de Madrid","Day of Madrid","ES",FALSE,FALSE,NA,"Public","ES-MD"
"110",2018-05-17,"Día das Letras Galegas","Galician Literature Day","ES",TRUE,FALSE,NA,"Public","ES-GA"
"111",2018-05-30,"Día de Canarias","Day of the Canary Islands","ES",TRUE,FALSE,NA,"Public","ES-CN"
"112",2018-05-31,"Corpus Christi","Corpus Christi","ES",FALSE,FALSE,NA,"Public","ES-CM"
"113",2018-05-31,"Día de la Región Castilla-La Mancha","Day of Castilla-La Mancha","ES",TRUE,FALSE,NA,"Public","ES-CM"
"114",2018-06-09,"Día de La Rioja","Day of La Rioja","ES",TRUE,FALSE,NA,"Public","ES-RI"
"115",2018-06-09,"Día de la Región de Murcia","Day of Murcia","ES",TRUE,FALSE,NA,"Public","ES-MC"
"116",2018-06-24,"Sant Joan","St. John's Day","ES",TRUE,FALSE,NA,"Public","ES-CT,ES-VC"
"117",2018-07-25,"Santiago Apóstol","Santiago Apóstol","ES",TRUE,FALSE,NA,"Public","ES-GA"
"118",2018-07-28,"Día de las Instituciones de Cantabria","Day of the Cantabrian Institutions","ES",TRUE,FALSE,NA,"Public","ES-CB"
"119",2018-08-15,"Asunción","Assumption","ES",FALSE,TRUE,NA,"Public","All"
"120",2018-09-08,"Día de Asturias","Day of Asturias","ES",TRUE,FALSE,NA,"Public","ES-AS"
"121",2018-09-08,"Día de Extremadura","Day of Extremadura","ES",TRUE,FALSE,NA,"Public","ES-EX"
"122",2018-09-11,"Diada Nacional de Catalunya","National Day of Catalonia","ES",TRUE,FALSE,NA,"Public","ES-CT"
"123",2018-09-15,"La Bien Aparecida","Regional Holiday","ES",TRUE,FALSE,NA,"Public","ES-CB"
"124",2018-10-09,"Dia de la Comunitat Valenciana","Day of the Valencian Community","ES",TRUE,FALSE,NA,"Public","ES-VC"
"125",2018-10-12,"Fiesta Nacional de España","Fiesta Nacional de España","ES",TRUE,TRUE,NA,"Public","All"
"126",2018-11-01,"Día de todos los Santos","All Saints Day","ES",TRUE,TRUE,NA,"Public","All"
"127",2018-12-06,"Día de la Constitución","Constitution Day","ES",TRUE,TRUE,NA,"Public","All"
"128",2018-12-08,"Inmaculada Concepción","Immaculate Conception","ES",TRUE,TRUE,NA,"Public","All"
"129",2018-12-25,"Navidad","Christmas Day","ES",TRUE,TRUE,NA,"Public","All"
"130",2018-12-26,"Sant Esteve","St. Stephen's Day","ES",TRUE,FALSE,NA,"Public","ES-CT"
"131",2019-01-01,"Año Nuevo","New Year's Day","ES",TRUE,TRUE,1967,"Public","All"
"132",2019-01-06,"Día de Reyes / Epifanía del Señor","Epiphany","ES",TRUE,TRUE,NA,"Public","All"
"133",2019-02-28,"Día de Andalucía","Day of Andalucía","ES",TRUE,FALSE,NA,"Public","ES-AN"
"134",2019-03-01,"Dia de les Illes Balears","Day of the Balearic Islands","ES",TRUE,FALSE,NA,"Public","ES-IB"
"135",2019-03-19,"San José","St. Joseph's Day","ES",TRUE,FALSE,NA,"Public","ES-GA,ES-PV,ES-VC"
"136",2019-04-18,"Jueves Santo","Maundy Thursday","ES",FALSE,FALSE,NA,"Public","ES-AN,ES-AR,ES-CL,ES-CM,ES-CN,ES-EX,ES-GA,ES-IB,ES-RI,ES-MD,ES-MC,ES-NC,ES-AS,ES-PV,ES-CB"
"137",2019-04-19,"Viernes Santo","Good Friday","ES",FALSE,TRUE,NA,"Public","All"
"138",2019-04-22,"Lunes de Pascua","Easter Monday","ES",FALSE,FALSE,1642,"Public","ES-CT,ES-IB,ES-RI,ES-NC,ES-PV,ES-VC"
"139",2019-04-23,"Día de Castilla y León","Castile and León Day","ES",TRUE,FALSE,NA,"Public","ES-CL"
"140",2019-04-23,"San Jorge (Día de Aragón)","Day of Aragón","ES",TRUE,FALSE,NA,"Public","ES-AR"
"141",2019-05-01,"Fiesta del trabajo","Labour Day","ES",TRUE,TRUE,NA,"Public","All"
"142",2019-05-02,"Fiesta de la Comunidad de Madrid","Day of Madrid","ES",FALSE,FALSE,NA,"Public","ES-MD"
"143",2019-05-17,"Día das Letras Galegas","Galician Literature Day","ES",TRUE,FALSE,NA,"Public","ES-GA"
"144",2019-05-30,"Día de Canarias","Day of the Canary Islands","ES",TRUE,FALSE,NA,"Public","ES-CN"
"145",2019-05-31,"Día de la Región Castilla-La Mancha","Day of Castilla-La Mancha","ES",TRUE,FALSE,NA,"Public","ES-CM"
"146",2019-06-09,"Día de La Rioja","Day of La Rioja","ES",TRUE,FALSE,NA,"Public","ES-RI"
"147",2019-06-09,"Día de la Región de Murcia","Day of Murcia","ES",TRUE,FALSE,NA,"Public","ES-MC"
"148",2019-06-20,"Corpus Christi","Corpus Christi","ES",FALSE,FALSE,NA,"Public","ES-CM"
"149",2019-06-24,"Sant Joan","St. John's Day","ES",TRUE,FALSE,NA,"Public","ES-CT,ES-VC"
"150",2019-07-25,"Santiago Apóstol","Santiago Apóstol","ES",TRUE,FALSE,NA,"Public","ES-GA,ES-PV"
"151",2019-07-28,"Día de las Instituciones de Cantabria","Day of the Cantabrian Institutions","ES",TRUE,FALSE,NA,"Public","ES-CB"
"152",2019-08-15,"Asunción","Assumption","ES",FALSE,TRUE,NA,"Public","All"
"153",2019-09-08,"Día de Asturias","Day of Asturias","ES",TRUE,FALSE,NA,"Public","ES-AS"
"154",2019-09-08,"Día de Extremadura","Day of Extremadura","ES",TRUE,FALSE,NA,"Public","ES-EX"
"155",2019-09-11,"Diada Nacional de Catalunya","National Day of Catalonia","ES",TRUE,FALSE,NA,"Public","ES-CT"
"156",2019-09-15,"La Bien Aparecida","Regional Holiday","ES",TRUE,FALSE,NA,"Public","ES-CB"
"157",2019-10-09,"Dia de la Comunitat Valenciana","Day of the Valencian Community","ES",TRUE,FALSE,NA,"Public","ES-VC"
"158",2019-10-12,"Fiesta Nacional de España","Fiesta Nacional de España","ES",TRUE,TRUE,NA,"Public","All"
"159",2019-11-01,"Día de todos los Santos","All Saints Day","ES",TRUE,TRUE,NA,"Public","All"
"160",2019-12-06,"Día de la Constitución","Constitution Day","ES",TRUE,TRUE,NA,"Public","All"
"161",2019-12-08,"Inmaculada Concepción","Immaculate Conception","ES",TRUE,TRUE,NA,"Public","All"
"162",2019-12-25,"Navidad","Christmas Day","ES",TRUE,TRUE,NA,"Public","All"
"163",2019-12-26,"Sant Esteve","St. Stephen's Day","ES",TRUE,FALSE,NA,"Public","ES-CT"
"164",2020-01-01,"Año Nuevo","New Year's Day","ES",TRUE,TRUE,1967,"Public","All"
"165",2020-01-06,"Día de Reyes / Epifanía del Señor","Epiphany","ES",TRUE,TRUE,NA,"Public","All"
"166",2020-02-28,"Día de Andalucía","Day of Andalucía","ES",TRUE,FALSE,NA,"Public","ES-AN"
"167",2020-03-01,"Dia de les Illes Balears","Day of the Balearic Islands","ES",TRUE,FALSE,NA,"Public","ES-IB"
"168",2020-03-19,"San José","St. Joseph's Day","ES",TRUE,FALSE,NA,"Public","ES-CM,ES-GA,ES-PV,ES-VC"
"169",2020-04-09,"Jueves Santo","Maundy Thursday","ES",FALSE,FALSE,NA,"Public","ES-AN,ES-AR,ES-CL,ES-CM,ES-CN,ES-EX,ES-GA,ES-IB,ES-RI,ES-MD,ES-MC,ES-NC,ES-AS,ES-PV,ES-CB"
"170",2020-04-10,"Viernes Santo","Good Friday","ES",FALSE,TRUE,NA,"Public","All"
"171",2020-04-13,"Lunes de Pascua","Easter Monday","ES",FALSE,FALSE,1642,"Public","ES-CT,ES-IB,ES-RI,ES-NC,ES-PV,ES-VC"
"172",2020-04-23,"Día de Castilla y León","Castile and León Day","ES",TRUE,FALSE,NA,"Public","ES-CL"
"173",2020-04-23,"San Jorge (Día de Aragón)","Day of Aragón","ES",TRUE,FALSE,NA,"Public","ES-AR"
"174",2020-05-01,"Fiesta del trabajo","Labour Day","ES",TRUE,TRUE,NA,"Public","All"
"175",2020-05-02,"Fiesta de la Comunidad de Madrid","Day of Madrid","ES",FALSE,FALSE,NA,"Public","ES-MD"
"176",2020-05-17,"Día das Letras Galegas","Galician Literature Day","ES",TRUE,FALSE,NA,"Public","ES-GA"
"177",2020-05-30,"Día de Canarias","Day of the Canary Islands","ES",TRUE,FALSE,NA,"Public","ES-CN"
"178",2020-05-31,"Día de la Región Castilla-La Mancha","Day of Castilla-La Mancha","ES",TRUE,FALSE,NA,"Public","ES-CM"
"179",2020-06-09,"Día de La Rioja","Day of La Rioja","ES",TRUE,FALSE,NA,"Public","ES-RI"
"180",2020-06-09,"Día de la Región de Murcia","Day of Murcia","ES",TRUE,FALSE,NA,"Public","ES-MC"
"181",2020-06-11,"Corpus Christi","Corpus Christi","ES",FALSE,FALSE,NA,"Public","ES-CM"
"182",2020-06-24,"Sant Joan","St. John's Day","ES",TRUE,FALSE,NA,"Public","ES-CT,ES-VC"
"183",2020-07-25,"Santiago Apóstol","Santiago Apóstol","ES",TRUE,FALSE,NA,"Public","ES-GA,ES-PV"
"184",2020-07-28,"Día de las Instituciones de Cantabria","Day of the Cantabrian Institutions","ES",TRUE,FALSE,NA,"Public","ES-CB"
"185",2020-08-15,"Asunción","Assumption","ES",FALSE,TRUE,NA,"Public","All"
"186",2020-09-08,"Día de Asturias","Day of Asturias","ES",TRUE,FALSE,NA,"Public","ES-AS"
"187",2020-09-08,"Día de Extremadura","Day of Extremadura","ES",TRUE,FALSE,NA,"Public","ES-EX"
"188",2020-09-11,"Diada Nacional de Catalunya","National Day of Catalonia","ES",TRUE,FALSE,NA,"Public","ES-CT"
"189",2020-09-15,"La Bien Aparecida","Regional Holiday","ES",TRUE,FALSE,NA,"Public","ES-CB"
"190",2020-10-09,"Dia de la Comunitat Valenciana","Day of the Valencian Community","ES",TRUE,FALSE,NA,"Public","ES-VC"
"191",2020-10-12,"Fiesta Nacional de España","Fiesta Nacional de España","ES",TRUE,TRUE,NA,"Public","All"
"192",2020-11-01,"Día de todos los Santos","All Saints Day","ES",TRUE,TRUE,NA,"Public","All"
