X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30
21668,20205,24856,30227,30362,29535,29103,23261,20657,28064,28578,29452,28964,28974,23539,19971,27815,28120,28088,27887,28860,23604,20460,27717,27996,29015,29563,28799,24617,20987
22826,21694,24978,29842,29642,28487,28652,24047,21815,27889,27368,28093,27820,27995,23732,20388,27309,27504,27104,27139,28442,24025,20998,27105,27292,28352,29304,28521,25742,22061
23260,22942,24344,29266,28492,27288,27721,23882,22186,26842,26626,26735,26575,26906,22885,20226,26542,26922,26308,26439,27825,23676,21023,26198,26801,27639,28935,27945,25719,22624
23511,23846,23856,28839,27904,26423,27095,23672,22384,26591,25946,25713,25962,26238,22234,19923,26206,26437,25758,26103,27219,23163,20604,25627,26358,27108,28735,27741,25477,22859
24066,24267,23527,28366,27741,25884,26372,23406,22168,26444,25815,25414,25691,25846,22112,20003,26415,26318,25636,25927,26851,23134,20264,25446,26503,27000,28539,28003,25520,23210
24470,24255,23634,28013,27283,25415,25816,23091,22025,26071,25207,24870,25104,24976,21820,20155,25913,25941,25258,25396,26215,22702,20149,25172,26299,26415,28374,27538,24960,23257
23717,23364,22961,27382,26284,24833,24804,22136,20410,25353,24461,24148,24606,24232,20696,19047,24981,25261,24465,24784,25108,21655,19040,24668,25903,25661,27841,26846,23539,21828
23302,22359,22219,27108,25476,24724,24214,21605,19647,25331,23865,23835,24229,24293,20031,18461,24282,24838,24076,24443,24589,21042,18569,24352,25496,25177,27442,26326,22740,21067
23499,22118,22164,27503,25613,25258,24380,21643,20242,25403,24195,24084,24770,25021,20620,18880,25026,25224,24620,24994,24851,21088,18996,24623,25654,25503,27697,26403,22394,21094
24147,22292,22944,27961,26324,25972,25310,22576,21264,25901,25125,25028,25772,25436,21918,20106,25646,26041,25486,25841,25452,21978,20160,25453,26165,26216,27833,26817,22906,22159
25406,23116,24696,28812,27455,27394,26483,23774,22748,27044,26827,26602,27169,26594,23640,21918,27025,27450,26707,27050,26784,23092,21956,26868,27223,27621,28615,27627,23709,23243
27275,25335,27352,30916,29671,29576,28067,25334,24744,28939,29231,28655,28904,27573,24397,23897,28706,29115,28565,28736,27821,24433,24033,28806,29240,29319,29755,28742,24691,24475
27537,27735,30351,32988,32079,31717,29814,27083,27015,30712,31261,30943,30915,29264,26203,26486,30680,30922,30402,30815,29454,26536,26441,30687,31208,31167,30941,30076,26522,26796
26109,27122,29072,30932,30158,29844,28165,26048,26281,28566,29184,28962,29035,27728,25509,26142,28770,28707,28368,28986,27986,25812,26145,29052,29489,29365,29224,28440,26044,26624
23956,24735,26437,27965,27227,26949,25955,24159,24404,25716,26441,26132,26591,25336,23604,24083,25922,25828,25610,26282,25723,23964,24195,26250,26542,26561,26547,26202,24044,24556
22210,22274,24108,25679,24967,24880,24165,22617,22684,23500,24566,24151,24670,24105,22159,22390,24002,24061,24039,24473,24102,22191,22448,24190,24528,24568,24745,24665,22459,22669
20510,20371,22353,23901,23444,23470,22681,21207,21227,22071,23261,22777,23482,22910,20761,21223,22918,22912,22859,23374,22711,20768,21051,22988,23086,23334,23448,23268,21001,21225
19880,19147,21234,22581,22461,22172,21474,20020,20321,21072,22228,21775,22533,21805,19705,20314,21786,22044,21902,22391,21587,19694,20177,21857,22131,22361,22502,22017,19869,20217
19250,18468,20624,21866,21969,21360,20560,19146,19766,20520,21759,21294,22017,21118,19072,19849,21284,21548,21346,21887,20911,19045,19704,21469,21635,21942,22109,21399,19163,19835
18451,18250,20445,21574,21771,21226,20189,18572,19580,20329,21509,21040,21863,20706,18656,19636,20942,21365,21201,21609,20559,18715,19610,21255,21574,21847,21842,20977,18900,19723
